1;ADMINISTRACION FARMACEUTICA;activo;800;1;0/01/1900;0/01/1900
2;ADMINISTRACION HOSPITALARIA;activo;800;1;0/01/1900;0/01/1900
3;ATENCION FARMACEUTICA;activo;800;1;0/01/1900;0/01/1900
4;AUDITORIA EN ENFERMERIA;activo;800;1;0/01/1900;0/01/1900
5;AUDITORIA MEDICA;activo;800;1;0/01/1900;0/01/1900
6;CUIDADOS INTENSIVOS NEONATALES;activo;800;1;0/01/1900;0/01/1900
7;DIRECCION Y GERENCIA DE SALUD PUBLICA;activo;800;1;0/01/1900;0/01/1900
8;EMERGENCIAS NEONATALES;activo;800;1;0/01/1900;0/01/1900
9;EMERGENCIAS Y URGENCIAS EN LOS SERVICIOS DE ENFERMERIA;activo;800;1;0/01/1900;0/01/1900
10;SISTEMA DE DISPENSACION DE MEDICAMENTOS EN DOSIS UNITARIA;activo;800;1;0/01/1900;0/01/1900
11;SEGUIMIENTO FARMACOTERAPEUTICO;activo;800;1;0/01/1900;0/01/1900
12;RIESGO OBSTETRICO;activo;800;1;0/01/1900;0/01/1900
13;MEDIDAS PREVENTIVAS EN EMERGENCIAS OBSTETRICAS;activo;800;1;0/01/1900;0/01/1900
14;SALUD SEXUAL EN LA ADOLESCENCIA;activo;800;1;0/01/1900;0/01/1900
15;GERENCIA HOSPITALARIA;activo;800;1;0/01/1900;0/01/1900
16;REINGENIERIA EN LOS SERVICIOS DE SALUD;activo;800;1;0/01/1900;0/01/1900
17;PSICOLOGIA EDUCATIVA;activo;800;2;0/01/1900;0/01/1900
18;COMPRENSION LECTORA Y DESARROLLO DEL LENGUAJE EN NIVEL PRIMARIA;activo;800;2;0/01/1900;0/01/1900
19;METODOLOGIA Y TECNICAS PEDAGOGICAS PARA NIVEL PRIMARIA;activo;800;2;0/01/1900;0/01/1900
20;ESTRATEGIAS INNOVADORES EN EDUCACION PRIMARIA;activo;800;2;0/01/1900;0/01/1900
21;EVALUACION PEDAGOGICA DEL APRENDIZAJE EN EDUCAICON PRIMARIA;activo;800;2;0/01/1900;0/01/1900
22;ORIENTACION EDUCATIVA Y TUTORIA;activo;800;2;0/01/1900;0/01/1900
23;COMPRENSION LECTORA Y DESARROLLO DEL LENGUAJE EN NIVEL SECUNDARIA;activo;800;2;0/01/1900;0/01/1900
24;EVALUACION DE LOS APRENDIZAJES EN EDUCACION SECUNDARIA;activo;800;2;0/01/1900;0/01/1900
25;AUXILIAR EN EDUCACION SECUNDARIA;activo;800;2;0/01/1900;0/01/1900
26;ESTRATEGIAS DIDACTICAS PARA LOGRAR EL APRENDIZAJE SIGNIFICATIVO;activo;800;2;0/01/1900;0/01/1900
27;LAS TECNOLOGIAS DE LA INFORMACION Y COMUNICACION EN EDUCACION;activo;800;2;0/01/1900;0/01/1900
28;NEUROPEDAGOGIA Y EL PROCESO DE APRENDIZAJE;activo;800;2;0/01/1900;0/01/1900
29;ESTIMULACION Y ATENCION TEMPRANA;activo;800;2;0/01/1900;0/01/1900
30;DIRECCION Y GESTION EDUCATIVA;activo;800;2;0/01/1900;0/01/1900
31;METODOS Y TECNICAS DE INVESTIGACION;activo;800;2;0/01/1900;0/01/1900
32;AUXILIAR EN EDUCACION PRIMARIA;activo;800;2;0/01/1900;0/01/1900
33;GESTION ESTRATEGICA EN EDUCACION;activo;800;2;0/01/1900;0/01/1900
34;ESTIMULACION DE LA CREATIVIDADD Y LAS INTELIGENCIAS MULTIPLES;activo;800;2;0/01/1900;0/01/1900
