1;lima;activo;2/01/1900;2/01/1900
2;amazonas;activo;3/01/1900;3/01/1900
3;ancash;activo;4/01/1900;4/01/1900
4;apurimac;activo;5/01/1900;5/01/1900
5;arequipa;activo;6/01/1900;6/01/1900
6;ayacucho;activo;7/01/1900;7/01/1900
7;cajamarca;activo;8/01/1900;8/01/1900
8;tumbes;activo;9/01/1900;9/01/1900
9;piura;activo;10/01/1900;10/01/1900
10;lambayeque;activo;11/01/1900;11/01/1900
11;cuzco;activo;12/01/1900;12/01/1900
12;huancavelica;activo;13/01/1900;13/01/1900
13;huanuco;activo;14/01/1900;14/01/1900
14;ica;activo;15/01/1900;15/01/1900
15;junin;activo;16/01/1900;16/01/1900
16;la libertad;activo;17/01/1900;17/01/1900
17;madre de dios;activo;18/01/1900;18/01/1900
18;loreto;activo;19/01/1900;19/01/1900
19;moquegua;activo;20/01/1900;20/01/1900
20;pasco;activo;21/01/1900;21/01/1900
21;SAN MARTIN;activo;22/01/1900;22/01/1900
22;puno;activo;23/01/1900;23/01/1900
23;tacna;activo;24/01/1900;24/01/1900
24;ucayali;activo;25/01/1900;25/01/1900
