1;Lima;activo;1;8/01/1900;9/01/1900
2;Cajatambo;activo;1;8/01/1900;9/01/1900
3;Bagua;activo;2;8/01/1900;9/01/1900
4;Huaraz;activo;3;8/01/1900;9/01/1900
5;canta;activo;1;8/01/1900;9/01/1900
6;cañete;activo;1;8/01/1900;9/01/1900
7;barranca;activo;1;8/01/1900;9/01/1900
8;huaral;activo;1;8/01/1900;9/01/1900
9;huarochiri;activo;1;8/01/1900;9/01/1900
10;huara;activo;1;8/01/1900;9/01/1900
11;oyon;activo;1;8/01/1900;9/01/1900
12;yauyos;activo;1;8/01/1900;9/01/1900
13;bongara;activo;2;8/01/1900;9/01/1900
14;chachapoyas;activo;2;8/01/1900;9/01/1900
15;condorcanqui;activo;2;8/01/1900;9/01/1900
16;luya;activo;2;8/01/1900;9/01/1900
17;r de mendoza;activo;2;8/01/1900;9/01/1900
18;utcubamba;activo;2;8/01/1900;9/01/1900
19;aija;activo;3;8/01/1900;9/01/1900
20;a raymondi;activo;3;8/01/1900;9/01/1900
21;ASUNCION;activo;3;8/01/1900;9/01/1900
22;bolognsi;activo;3;8/01/1900;9/01/1900
23;carhuaz;activo;3;8/01/1900;9/01/1900
24;c f. fitzcarrald;activo;3;8/01/1900;9/01/1900
25;casma;activo;3;8/01/1900;9/01/1900
26;corongo;activo;3;8/01/1900;9/01/1900
27;huari;activo;3;8/01/1900;9/01/1900
28;huarmey;activo;3;8/01/1900;9/01/1900
29;huaylas;activo;3;8/01/1900;9/01/1900
30;mariscal;activo;3;8/01/1900;9/01/1900
31;ocros;activo;3;8/01/1900;9/01/1900
32;pallasca;activo;3;8/01/1900;9/01/1900
33;pomabamba;activo;3;8/01/1900;9/01/1900
34;recuay;activo;3;8/01/1900;9/01/1900
35;santa;activo;3;8/01/1900;9/01/1900
36;sihuas;activo;3;8/01/1900;9/01/1900
37;yungay;activo;3;8/01/1900;9/01/1900
38;abancay;activo;4;8/01/1900;9/01/1900
39;andahuaylas;activo;4;8/01/1900;9/01/1900
40;antabamba;activo;4;8/01/1900;9/01/1900
41;aymares;activo;4;8/01/1900;9/01/1900
42;chincheros;activo;4;8/01/1900;9/01/1900
43;cotabambas;activo;4;8/01/1900;9/01/1900
44;grau;activo;4;8/01/1900;9/01/1900
45;arequipa;activo;5;8/01/1900;9/01/1900
46;camana;activo;5;8/01/1900;9/01/1900
47;caraveli;activo;5;8/01/1900;9/01/1900
48;castilla;activo;5;8/01/1900;9/01/1900
49;caylloma;activo;5;8/01/1900;9/01/1900
50;condesuyos;activo;5;8/01/1900;9/01/1900
51;islay;activo;5;8/01/1900;9/01/1900
52;la union;activo;5;8/01/1900;9/01/1900
53;cangallo;activo;6;8/01/1900;9/01/1900
54;huanta;activo;6;8/01/1900;9/01/1900
55;huancasancos;activo;6;8/01/1900;9/01/1900
56;huamanga;activo;6;8/01/1900;9/01/1900
57;la mar;activo;6;8/01/1900;9/01/1900
58;parinacochas;activo;6;8/01/1900;9/01/1900
59;paucar de la sara sara;activo;6;8/01/1900;9/01/1900
60;sucre;activo;6;8/01/1900;9/01/1900
61;victor fajardo;activo;6;8/01/1900;9/01/1900
62;vilcas huaman;activo;6;8/01/1900;9/01/1900
63;cajabamba;activo;7;8/01/1900;9/01/1900
64;cajamarca;activo;7;8/01/1900;9/01/1900
65;celedin;activo;7;8/01/1900;9/01/1900
66;chota;activo;7;8/01/1900;9/01/1900
67;contumaza;activo;7;8/01/1900;9/01/1900
68;cutervo;activo;7;8/01/1900;9/01/1900
69;hualgayoc;activo;7;8/01/1900;9/01/1900
70;jaen;activo;7;8/01/1900;9/01/1900
71;san ignacio;activo;7;8/01/1900;9/01/1900
72;san marcos;activo;7;8/01/1900;9/01/1900
73;san miguel;activo;7;8/01/1900;9/01/1900
74;san pablo;activo;7;8/01/1900;9/01/1900
75;santa cruz;activo;7;8/01/1900;9/01/1900
76;contralmierante villar;activo;8;8/01/1900;9/01/1900
77;tumbes;activo;8;8/01/1900;9/01/1900
78;zarumilla;activo;8;8/01/1900;9/01/1900
79;ayabaca;activo;9;8/01/1900;9/01/1900
80;huancabamba;activo;9;8/01/1900;9/01/1900
81;morropon;activo;9;8/01/1900;9/01/1900
82;paita;activo;9;8/01/1900;9/01/1900
83;piura;activo;9;8/01/1900;9/01/1900
84;sechura;activo;9;8/01/1900;9/01/1900
85;sullana;activo;9;8/01/1900;9/01/1900
86;talara;activo;9;8/01/1900;9/01/1900
87;chiclayo;activo;10;8/01/1900;9/01/1900
88;FERREÑAFE;activo;10;8/01/1900;9/01/1900
89;LAMBAYEQUE;activo;10;8/01/1900;9/01/1900
90;ACOMAYO;activo;11;8/01/1900;9/01/1900
91;ANTA;activo;11;8/01/1900;9/01/1900
92;calca;activo;11;8/01/1900;9/01/1900
93;canas;activo;11;8/01/1900;9/01/1900
94;canchis;activo;11;8/01/1900;9/01/1900
95;la convencion;activo;11;8/01/1900;9/01/1900
96;cusco;activo;11;8/01/1900;9/01/1900
97;chumbivilcas;activo;11;8/01/1900;9/01/1900
98;espinar;activo;11;8/01/1900;9/01/1900
99;paruro;activo;11;8/01/1900;9/01/1900
100;paucartambo;activo;11;8/01/1900;9/01/1900
101;quispicanchis;activo;11;8/01/1900;9/01/1900
102;urubamba;activo;11;8/01/1900;9/01/1900
103;acobamba;activo;12;8/01/1900;9/01/1900
104;angaraes;activo;12;8/01/1900;9/01/1900
105;castrovirreyna;activo;12;8/01/1900;9/01/1900
106;churcampa;activo;12;8/01/1900;9/01/1900
107;huancaveloca;activo;12;8/01/1900;9/01/1900
108;huaytara;activo;12;8/01/1900;9/01/1900
109;tayacaja;activo;12;8/01/1900;9/01/1900
110;huanuco;activo;13;8/01/1900;9/01/1900
111;ambo;activo;13;8/01/1900;9/01/1900
112;dos de mayo;activo;13;8/01/1900;9/01/1900
113;huacaybamba;activo;13;8/01/1900;9/01/1900
114;huamalies;activo;13;8/01/1900;9/01/1900
115;leoncio pardo;activo;13;8/01/1900;9/01/1900
116;marañon;activo;13;8/01/1900;9/01/1900
117;pachitea;activo;13;8/01/1900;9/01/1900
118;puerto inca;activo;13;8/01/1900;9/01/1900
119;lauricocha;activo;13;8/01/1900;9/01/1900
120;yarowilca;activo;13;8/01/1900;9/01/1900
121;chincha;activo;14;8/01/1900;9/01/1900
122;ica;activo;14;8/01/1900;9/01/1900
123;nazca;activo;14;8/01/1900;9/01/1900
124;palpa;activo;14;8/01/1900;9/01/1900
